;textDisplay;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
45;pionir mibil listrik di indonesia nih mantap hyundai. btw salut juga sama shell tetap mengikuti perkembangan arus globalisasi;1.0;pionir mibil listrik di indonesia nih mantap hyundai btw salut juga sama shell tetap mengikuti perkembangan arus globalisasi;['pionir', 'mibil', 'listrik', 'di', 'indonesia', 'nih', 'mantap', 'hyundai', 'btw', 'salut', 'juga', 'sama', 'shell', 'tetap', 'mengikuti', 'perkembangan', 'arus', 'globalisasi'];['pionir', 'mibil', 'listrik', 'di', 'indonesia', 'ini', 'mantap', 'hyundai', 'eh', 'bangga', 'juga', 'sama', 'shell', 'tetap', 'mengikuti', 'perkembangan', 'arus', 'globalisasi'];['pionir', 'mibil', 'listrik', 'indonesia', 'mantap', 'hyundai', 'eh', 'bangga', 'shell', 'mengikuti', 'perkembangan', 'arus', 'globalisasi'];pionir mibil listrik indonesia mantap hyundai eh bangga shell mengikuti perkembangan arus globalisasi;pionir mibil listrik indonesia mantap hyundai eh bangga shell ikut kembang arus globalisasi
46;Solawatin dulu gaes😁😇;1.0;solawatin dulu gaes;['solawatin', 'dulu', 'gaes'];['solawatin', 'dulu', 'gaes'];['solawatin', 'gaes'];solawatin gaes;solawatin gaes
47;Kasus Arsam dri Bandung tolong klarifikasi om fitra...;0.0;kasus arsam dri bandung tolong klarifikasi om fitra repeated;['kasus', 'arsam', 'dri', 'bandung', 'tolong', 'klarifikasi', 'om', 'fitra', 'repeated'];['kasus', 'arsam', 'dari', 'bandung', 'tolong', 'klarifikasi', 'om', 'fitra', 'repeated'];['arsam', 'bandung', 'tolong', 'klarifikasi', 'om', 'fitra', 'repeated'];arsam bandung tolong klarifikasi om fitra repeated;arsam bandung tolong klarifikasi om fitra repeated
48;Cicilan 50thn bisa g y 😂😂😂;0.0;cicilan 5 0 thn bisa;['cicilan', '5', '0', 'thn', 'bisa'];['cicilan', '5', '0', 'tahun', 'bisa'];['cicilan', '5', '0'];cicilan 5 0;cicil 5 0
49;harga nya saingan Fortuner/Pajera/Alpahard 🤭;0.0;harga nya saingan fortuner pajera alpahard;['harga', 'nya', 'saingan', 'fortuner', 'pajera', 'alpahard'];['harga', 'nya', 'saingan', 'fortuner', 'pajera', 'alpahard'];['harga', 'nya', 'saingan', 'fortuner', 'pajera', 'alpahard'];harga nya saingan fortuner pajera alpahard;harga nya saing fortuner pajera alpahard
50;Hyundai IONIQ 5 Power up the future.;1.0;hyundai allcaps ioniq allcaps number power up the future;['hyundai', 'allcaps', 'ioniq', 'allcaps', 'number', 'power', 'up', 'the', 'future'];['hyundai', 'allcaps', 'ioniq', 'allcaps', 'number', 'power', 'up', 'the', 'future'];['hyundai', 'allcaps', 'ioniq', 'allcaps', 'number', 'power', 'up', 'the', 'future'];hyundai allcaps ioniq allcaps number power up the future;hyundai allcaps ioniq allcaps number power up the future
51;Cobak kalao ditambah bisa ngecas dengan sinar matahari beeeeh kuweeeren;1.0;cobak kalao ditambah bisa ngecas dengan sinar matahari beh elongated kuweeren elongated;['cobak', 'kalao', 'ditambah', 'bisa', 'ngecas', 'dengan', 'sinar', 'matahari', 'beh', 'elongated', 'kuweeren', 'elongated'];['coba', 'kalao', 'ditambah', 'bisa', 'ngecas', 'dengan', 'sinar', 'matahari', 'beh', 'elongated', 'kuweeren', 'elongated'];['coba', 'kalao', 'ditambah', 'ngecas', 'sinar', 'matahari', 'beh', 'elongated', 'kuweeren', 'elongated'];coba kalao ditambah ngecas sinar matahari beh elongated kuweeren elongated;coba kalao tambah ngecas sinar matahari beh elongated kuweeren elongated
53;Ngeliat video ini gara2 fyp ditiktok gara2 cat mobil. Oh jadi ini mobil yang ngelotok ditempel lakban 😂;-1.0;ngeliat video ini gara2 fyp ditiktok gara2 cat mobil oh jadi ini mobil yang ngelotok ditempel lakban;['ngeliat', 'video', 'ini', 'gara2', 'fyp', 'ditiktok', 'gara2', 'cat', 'mobil', 'oh', 'jadi', 'ini', 'mobil', 'yang', 'ngelotok', 'ditempel', 'lakban'];['ngeliat', 'video', 'ini', 'gara2', 'fyp', 'ditiktok', 'gara2', 'cat', 'mobil', 'oh', 'jadi', 'ini', 'mobil', 'yang', 'ngelotok', 'ditempel', 'lakban'];['ngeliat', 'video', 'gara2', 'fyp', 'ditiktok', 'gara2', 'cat', 'mobil', 'oh', 'mobil', 'ngelotok', 'ditempel', 'lakban'];ngeliat video gara2 fyp ditiktok gara2 cat mobil oh mobil ngelotok ditempel lakban;ngeliat video gara2 fyp ditiktok gara2 cat mobil oh mobil ngelotok tempel lakban
54;@Miftahul Iman PPF buat whole body mobil. Ini lakban khusus buat pijakan kaki doang. Emang niatnya buat ngelindungin dari pijakan kaki doangg.;1.0;user iman allcaps ppf allcaps buat whole body mobil ini lakban khusus buat pijakan kaki doang emang niatnya buat ngelindungin dari pijakan kaki doangg;['user', 'iman', 'allcaps', 'ppf', 'allcaps', 'buat', 'whole', 'body', 'mobil', 'ini', 'lakban', 'khusus', 'buat', 'pijakan', 'kaki', 'doang', 'emang', 'niatnya', 'buat', 'ngelindungin', 'dari', 'pijakan', 'kaki', 'doangg'];['user', 'iman', 'allcaps', 'ppf', 'allcaps', 'buat', 'whole', 'body', 'mobil', 'ini', 'lakban', 'khusus', 'buat', 'pijakan', 'kaki', 'saja', 'memang', 'niatnya', 'buat', 'ngelindungin', 'dari', 'pijakan', 'kaki', 'doangg'];['user', 'iman', 'allcaps', 'ppf', 'allcaps', 'whole', 'body', 'mobil', 'lakban', 'khusus', 'pijakan', 'kaki', 'niatnya', 'ngelindungin', 'pijakan', 'kaki', 'doangg'];user iman allcaps ppf allcaps whole body mobil lakban khusus pijakan kaki niatnya ngelindungin pijakan kaki doangg;user iman allcaps ppf allcaps whole body mobil lakban khusus pijak kaki niat ngelindungin pijak kaki doangg
55;@MoMoNon <br>Lau pake PPF kalau mau melindungi body<br>Mampu beli mobil 800jt tapi PPF 50jt aja gak bisa;-1.0;user br lau pake allcaps ppf allcaps kalau mau melindungi body br mampu beli mobil 8 0 0 jt tapi allcaps ppf allcaps 5 0 jt aja gak bisa;['user', 'br', 'lau', 'pake', 'allcaps', 'ppf', 'allcaps', 'kalau', 'mau', 'melindungi', 'body', 'br', 'mampu', 'beli', 'mobil', '8', '0', '0', 'jt', 'tapi', 'allcaps', 'ppf', 'allcaps', '5', '0', 'jt', 'aja', 'gak', 'bisa'];['user', 'br', 'lau', 'pakai', 'allcaps', 'ppf', 'allcaps', 'kalau', 'mau', 'melindungi', 'body', 'br', 'mampu', 'beli', 'mobil', '8', '0', '0', 'jt', 'tapi', 'allcaps', 'ppf', 'allcaps', '5', '0', 'jt', 'saja', 'tidak', 'bisa'];['user', 'br', 'lau', 'pakai', 'allcaps', 'ppf', 'allcaps', 'melindungi', 'body', 'br', 'beli', 'mobil', '8', '0', '0', 'jt', 'allcaps', 'ppf', 'allcaps', '5', '0', 'jt'];user br lau pakai allcaps ppf allcaps melindungi body br beli mobil 8 0 0 jt allcaps ppf allcaps 5 0 jt;user br lau pakai allcaps ppf allcaps lindung body br beli mobil 8 0 0 jt allcaps ppf allcaps 5 0 jt
56;ya ngapain juga mobil ditempelin lakban;-1.0;ya ngapain juga mobil ditempelin lakban;['ya', 'ngapain', 'juga', 'mobil', 'ditempelin', 'lakban'];['iya', 'ngapain', 'juga', 'mobil', 'ditempelin', 'lakban'];['iya', 'ngapain', 'mobil', 'ditempelin', 'lakban'];iya ngapain mobil ditempelin lakban;iya ngapain mobil ditempelin lakban
58;Om Fitra....mohon pencerahannya. Ada pengaruhnya ga jarak tempuh dgn jumlah penumpang?;0.0;om fitra repeated mohon pencerahannya ada pengaruhnya ga jarak tempuh dgn jumlah penumpang;['om', 'fitra', 'repeated', 'mohon', 'pencerahannya', 'ada', 'pengaruhnya', 'ga', 'jarak', 'tempuh', 'dgn', 'jumlah', 'penumpang'];['om', 'fitra', 'repeated', 'mohon', 'pencerahannya', 'ada', 'pengaruhnya', 'tidak', 'jarak', 'tempuh', 'dengan', 'jumlah', 'penumpang'];['om', 'fitra', 'repeated', 'mohon', 'pencerahannya', 'pengaruhnya', 'jarak', 'tempuh', 'penumpang'];om fitra repeated mohon pencerahannya pengaruhnya jarak tempuh penumpang;om fitra repeated mohon cerah pengaruh jarak tempuh tumpang
59;Itu bagasi depan buat bawa genset cukup gak? Just in case low batt 😀;0.0;itu bagasi depan buat bawa genset cukup gak just in case low batt;['itu', 'bagasi', 'depan', 'buat', 'bawa', 'genset', 'cukup', 'gak', 'just', 'in', 'case', 'low', 'batt'];['itu', 'bagasi', 'depan', 'buat', 'bawa', 'genset', 'cukup', 'tidak', 'just', 'in', 'case', 'low', 'batt'];['bagasi', 'bawa', 'genset', 'just', 'in', 'case', 'low', 'batt'];bagasi bawa genset just in case low batt;bagasi bawa genset just in case low batt
60;Kapan gue belinyaaaa😅;0.0;kapan gue belinyaa elongated;['kapan', 'gue', 'belinyaa', 'elongated'];['kapan', 'saya', 'belinyaa', 'elongated'];['belinyaa', 'elongated'];belinyaa elongated;belinyaa elongated
61;Semoga harganya beberapa tahun ke depan bisa turun ke 300 jutaan;1.0;semoga harganya beberapa tahun ke depan bisa turun ke number jutaan;['semoga', 'harganya', 'beberapa', 'tahun', 'ke', 'depan', 'bisa', 'turun', 'ke', 'number', 'jutaan'];['semoga', 'harganya', 'beberapa', 'tahun', 'ke', 'depan', 'bisa', 'turun', 'ke', 'number', 'jutaan'];['semoga', 'harganya', 'turun', 'number', 'jutaan'];semoga harganya turun number jutaan;moga harga turun number juta
62;bagus ya....;1.0;bagus ya repeated;['bagus', 'ya', 'repeated'];['bagus', 'iya', 'repeated'];['bagus', 'iya', 'repeated'];bagus iya repeated;bagus iya repeated
63;super gagah ni mobil;1.0;super gagah ni mobil;['super', 'gagah', 'ni', 'mobil'];['super', 'gagah', 'ini', 'mobil'];['super', 'gagah', 'mobil'];super gagah mobil;super gagah mobil
64;Bukan mobil rakyat jelata..Harga 800jt bagi kalangan umum masih mahal..chargernya pun hrs punya listrik dirumah dgn daya 7000W..rata2 warga menengah di kota daya listrik rumah 3500W -5500W;-1.0;bukan mobil rakyat jelata repeated harga 8 0 0 jt bagi kalangan umum masih mahal repeated chargernya pun hrs punya listrik dirumah dgn daya 7 0 0 0 repeated rata2 warga menengah di kota daya listrik rumah 3 5 0 0 5 5 0 0;['bukan', 'mobil', 'rakyat', 'jelata', 'repeated', 'harga', '8', '0', '0', 'jt', 'bagi', 'kalangan', 'umum', 'masih', 'mahal', 'repeated', 'chargernya', 'pun', 'hrs', 'punya', 'listrik', 'dirumah', 'dgn', 'daya', '7', '0', '0', '0', 'repeated', 'rata2', 'warga', 'menengah', 'di', 'kota', 'daya', 'listrik', 'rumah', '3', '5', '0', '0', '5', '5', '0', '0'];['bukan', 'mobil', 'rakyat', 'jelata', 'repeated', 'harga', '8', '0', '0', 'jt', 'bagi', 'kalangan', 'umum', 'masih', 'mahal', 'repeated', 'chargernya', 'pun', 'harus', 'punya', 'listrik', 'dirumah', 'dengan', 'daya', '7', '0', '0', '0', 'repeated', 'rata2', 'warga', 'menengah', 'di', 'kota', 'daya', 'listrik', 'rumah', '3', '5', '0', '0', '5', '5', '0', '0'];['mobil', 'rakyat', 'jelata', 'repeated', 'harga', '8', '0', '0', 'jt', 'kalangan', 'mahal', 'repeated', 'chargernya', 'listrik', 'dirumah', 'daya', '7', '0', '0', '0', 'repeated', 'rata2', 'warga', 'menengah', 'kota', 'daya', 'listrik', 'rumah', '3', '5', '0', '0', '5', '5', '0', '0'];mobil rakyat jelata repeated harga 8 0 0 jt kalangan mahal repeated chargernya listrik dirumah daya 7 0 0 0 repeated rata2 warga menengah kota daya listrik rumah 3 5 0 0 5 5 0 0;mobil rakyat jelata repeated harga 8 0 0 jt kalang mahal repeated chargernya listrik rumah daya 7 0 0 0 repeated rata2 warga tengah kota daya listrik rumah 3 5 0 0 5 5 0 0
65;kan udh dijelasin klo bisa ngajuin ke pln buat bikin sambungan baru dan dapet subsidi;1.0;kan udh dijelasin klo bisa ngajuin ke pln buat bikin sambungan baru dan dapet subsidi;['kan', 'udh', 'dijelasin', 'klo', 'bisa', 'ngajuin', 'ke', 'pln', 'buat', 'bikin', 'sambungan', 'baru', 'dan', 'dapet', 'subsidi'];['kan', 'sudah', 'dijelasin', 'kalau', 'bisa', 'ngajuin', 'ke', 'pln', 'buat', 'membuat', 'sambungan', 'baru', 'dan', 'mendapat', 'subsidi'];['dijelasin', 'ngajuin', 'pln', 'sambungan', 'subsidi'];dijelasin ngajuin pln sambungan subsidi;dijelasin ngajuin pln sambung subsidi
66;Brp lama baterainya bertahan? Bs diperbaiki? atau hrs ganti...brp harganya?;0.0;brp lama baterainya bertahan bs diperbaiki atau hrs ganti repeated brp harganya;['brp', 'lama', 'baterainya', 'bertahan', 'bs', 'diperbaiki', 'atau', 'hrs', 'ganti', 'repeated', 'brp', 'harganya'];['brp', 'lama', 'baterainya', 'bertahan', 'bisa', 'diperbaiki', 'atau', 'harus', 'ganti', 'repeated', 'brp', 'harganya'];['brp', 'baterainya', 'bertahan', 'diperbaiki', 'ganti', 'repeated', 'brp', 'harganya'];brp baterainya bertahan diperbaiki ganti repeated brp harganya;brp baterai tahan baik ganti repeated brp harga
67;Ini sungguh mobil masa depan <br>Coba bayangin kita punya panel surya dan turbin angin gax usah beli listrik kita;1.0;ini sungguh mobil masa depan br coba bayangin kita punya panel surya dan turbin angin gax usah beli listrik kita;['ini', 'sungguh', 'mobil', 'masa', 'depan', 'br', 'coba', 'bayangin', 'kita', 'punya', 'panel', 'surya', 'dan', 'turbin', 'angin', 'gax', 'usah', 'beli', 'listrik', 'kita'];['ini', 'sungguh', 'mobil', 'masa', 'depan', 'br', 'coba', 'bayangkan', 'kita', 'punya', 'panel', 'surya', 'dan', 'turbin', 'angin', 'gax', 'usah', 'beli', 'listrik', 'kita'];['sungguh', 'mobil', 'br', 'coba', 'bayangkan', 'panel', 'surya', 'turbin', 'angin', 'gax', 'beli', 'listrik'];sungguh mobil br coba bayangkan panel surya turbin angin gax beli listrik;sungguh mobil br coba bayang panel surya turbin angin gax beli listrik
68;mana dikasih sama pln;1.0;mana dikasih sama pln;['mana', 'dikasih', 'sama', 'pln'];['mana', 'dikasih', 'sama', 'pln'];['dikasih', 'pln'];dikasih pln;kasih pln
69;Bagaimana jika mobil listrik terendam banjir? apakah memakan biaya yang terjangkau apa sebalik nya?;0.0;bagaimana jika mobil listrik terendam banjir apakah memakan biaya yang terjangkau apa sebalik nya;['bagaimana', 'jika', 'mobil', 'listrik', 'terendam', 'banjir', 'apakah', 'memakan', 'biaya', 'yang', 'terjangkau', 'apa', 'sebalik', 'nya'];['bagaimana', 'jika', 'mobil', 'listrik', 'terendam', 'banjir', 'apakah', 'memakan', 'biaya', 'yang', 'terjangkau', 'apa', 'sebalik', 'nya'];['mobil', 'listrik', 'terendam', 'banjir', 'memakan', 'biaya', 'terjangkau', 'sebalik', 'nya'];mobil listrik terendam banjir memakan biaya terjangkau sebalik nya;mobil listrik rendam banjir makan biaya jangkau balik nya
70;Bagaimana jika mobil listrik terendam banjir? apakah memakan biaya yang terjangkau apa sebalik nya?;0.0;bagaimana jika mobil listrik terendam banjir apakah memakan biaya yang terjangkau apa sebalik nya;['bagaimana', 'jika', 'mobil', 'listrik', 'terendam', 'banjir', 'apakah', 'memakan', 'biaya', 'yang', 'terjangkau', 'apa', 'sebalik', 'nya'];['bagaimana', 'jika', 'mobil', 'listrik', 'terendam', 'banjir', 'apakah', 'memakan', 'biaya', 'yang', 'terjangkau', 'apa', 'sebalik', 'nya'];['mobil', 'listrik', 'terendam', 'banjir', 'memakan', 'biaya', 'terjangkau', 'sebalik', 'nya'];mobil listrik terendam banjir memakan biaya terjangkau sebalik nya;mobil listrik rendam banjir makan biaya jangkau balik nya
72;Berapa lama ngisi bartei y dri keadaan low;0.0;berapa lama ngisi bartei dri keadaan low;['berapa', 'lama', 'ngisi', 'bartei', 'dri', 'keadaan', 'low'];['berapa', 'lama', 'ngisi', 'bartei', 'dari', 'keadaan', 'low'];['ngisi', 'bartei', 'low'];ngisi bartei low;ngisi bartei low
73;Kalau pakai daya rumahan itu sekitar 6-7 jam;1.0;kalau pakai daya rumahan itu sekitar number number jam;['kalau', 'pakai', 'daya', 'rumahan', 'itu', 'sekitar', 'number', 'number', 'jam'];['kalau', 'pakai', 'daya', 'rumahan', 'itu', 'sekitar', 'number', 'number', 'jam'];['pakai', 'daya', 'rumahan', 'number', 'number', 'jam'];pakai daya rumahan number number jam;pakai daya rumah number number jam
74;Sy memenangkan undian mobil ioniq 5 dr bank. Sy berniat utk menjualnya. Dikasih harga terbaik di bawah dealer resmi Hyundai Padang. Kondisi Baru. Bagi yg Serius beli bisa hub sy. Khusus utk daerah Padang/Sumbar ya;1.0;sy memenangkan undian mobil ioniq number dr bank sy berniat utk menjualnya dikasih harga terbaik di bawah dealer resmi hyundai padang kondisi baru bagi yg serius beli bisa hub sy khusus utk daerah padang sumbar ya;['sy', 'memenangkan', 'undian', 'mobil', 'ioniq', 'number', 'dr', 'bank', 'sy', 'berniat', 'utk', 'menjualnya', 'dikasih', 'harga', 'terbaik', 'di', 'bawah', 'dealer', 'resmi', 'hyundai', 'padang', 'kondisi', 'baru', 'bagi', 'yg', 'serius', 'beli', 'bisa', 'hub', 'sy', 'khusus', 'utk', 'daerah', 'padang', 'sumbar', 'ya'];['saya', 'memenangkan', 'undian', 'mobil', 'ioniq', 'number', 'dari', 'bank', 'saya', 'berniat', 'untuk', 'menjualnya', 'dikasih', 'harga', 'terbaik', 'di', 'bawah', 'dealer', 'resmi', 'hyundai', 'padang', 'kondisi', 'baru', 'bagi', 'yang', 'serius', 'beli', 'bisa', 'hub', 'saya', 'khusus', 'untuk', 'daerah', 'padang', 'sumbar', 'iya'];['memenangkan', 'undian', 'mobil', 'ioniq', 'number', 'bank', 'berniat', 'menjualnya', 'dikasih', 'harga', 'terbaik', 'dealer', 'resmi', 'hyundai', 'padang', 'kondisi', 'serius', 'beli', 'hub', 'khusus', 'daerah', 'padang', 'sumbar', 'iya'];memenangkan undian mobil ioniq number bank berniat menjualnya dikasih harga terbaik dealer resmi hyundai padang kondisi serius beli hub khusus daerah padang sumbar iya;menang undi mobil ioniq number bank niat jual kasih harga baik dealer resmi hyundai padang kondisi serius beli hub khusus daerah padang sumbar iya
75;sehat selalu om Eri...Mobil elektrik istimewa;1.0;sehat selalu om eri repeated mobil elektrik istimewa;['sehat', 'selalu', 'om', 'eri', 'repeated', 'mobil', 'elektrik', 'istimewa'];['sehat', 'selalu', 'om', 'eri', 'repeated', 'mobil', 'elektrik', 'istimewa'];['sehat', 'om', 'eri', 'repeated', 'mobil', 'elektrik', 'istimewa'];sehat om eri repeated mobil elektrik istimewa;sehat om eri repeated mobil elektrik istimewa
76;Masih terlalu mahal...;-1.0;masih terlalu mahal repeated;['masih', 'terlalu', 'mahal', 'repeated'];['masih', 'terlalu', 'mahal', 'repeated'];['mahal', 'repeated'];mahal repeated;mahal repeated
77;Range yg disampaikan apakah bs ditempuh dgn penumpang penuh?;0.0;range yg disampaikan apakah bs ditempuh dgn penumpang penuh;['range', 'yg', 'disampaikan', 'apakah', 'bs', 'ditempuh', 'dgn', 'penumpang', 'penuh'];['range', 'yang', 'disampaikan', 'apakah', 'bisa', 'ditempuh', 'dengan', 'penumpang', 'penuh'];['range', 'ditempuh', 'penumpang', 'penuh'];range ditempuh penumpang penuh;range tempuh tumpang penuh
78;Intinya takut banyak yg nganggur dan demo klo sampai kebijakan mobil Listrik spt di Norwebia .... terlalu lama dibiarkan monopoli sih jd nya ya bgt ... cmiiw;0.0;intinya takut banyak yg nganggur dan demo klo sampai kebijakan mobil listrik spt di norwebia repeated terlalu lama dibiarkan monopoli sih jd nya ya bgt repeated cmiiw;['intinya', 'takut', 'banyak', 'yg', 'nganggur', 'dan', 'demo', 'klo', 'sampai', 'kebijakan', 'mobil', 'listrik', 'spt', 'di', 'norwebia', 'repeated', 'terlalu', 'lama', 'dibiarkan', 'monopoli', 'sih', 'jd', 'nya', 'ya', 'bgt', 'repeated', 'cmiiw'];['intinya', 'takut', 'banyak', 'yang', 'pengangguran', 'dan', 'demo', 'kalau', 'sampai', 'kebijakan', 'mobil', 'listrik', 'seperti', 'di', 'norwebia', 'repeated', 'terlalu', 'lama', 'dibiarkan', 'monopoli', 'sih', 'jadi ', 'nya', 'iya', 'banget', 'repeated', 'cmiiw'];['intinya', 'takut', 'pengangguran', 'demo', 'kebijakan', 'mobil', 'listrik', 'norwebia', 'repeated', 'dibiarkan', 'monopoli', 'sih', 'jadi ', 'nya', 'iya', 'banget', 'repeated', 'cmiiw'];intinya takut pengangguran demo kebijakan mobil listrik norwebia repeated dibiarkan monopoli sih jadi  nya iya banget repeated cmiiw;inti takut anggur demo bijak mobil listrik norwebia repeated biar monopoli sih jadi nya iya banget repeated cmiiw
79;Pas di hutan cas habis....;-1.0;pas di hutan cas habis repeated;['pas', 'di', 'hutan', 'cas', 'habis', 'repeated'];['cocok', 'di', 'hutan', 'cas', 'habis', 'repeated'];['cocok', 'hutan', 'cas', 'habis', 'repeated'];cocok hutan cas habis repeated;cocok hutan cas habis repeated
80;Srs airbag nya gmn om?;0.0;srs airbag nya gmn om;['srs', 'airbag', 'nya', 'gmn', 'om'];['srs', 'airbag', 'nya', 'bagaimana', 'om'];['srs', 'airbag', 'nya', 'om'];srs airbag nya om;srs airbag nya om
81;Ada 6;1.0;ada number;['ada', 'number'];['ada', 'number'];['number'];number;number
82;Sdh dp dari April 2022 belom ada update sampai skrng.. mgkn nanti Trima nya 2024. Org sdh pada spk drone tahun depan 😂;0.0;sdh dp dari date belom ada update sampai skrng repeated mgkn nanti trima nya number org sdh pada spk drone tahun depan;['sdh', 'dp', 'dari', 'date', 'belom', 'ada', 'update', 'sampai', 'skrng', 'repeated', 'mgkn', 'nanti', 'trima', 'nya', 'number', 'org', 'sdh', 'pada', 'spk', 'drone', 'tahun', 'depan'];['sudah', 'dp', 'dari', 'date', 'belum', 'ada', 'update', 'sampai', 'sekarang', 'repeated', 'mgkn', 'nanti', 'trima', 'nya', 'number', 'orang', 'sudah', 'pada', 'spk', 'drone', 'tahun', 'depan'];['dp', 'date', 'update', 'repeated', 'mgkn', 'trima', 'nya', 'number', 'orang', 'spk', 'drone'];dp date update repeated mgkn trima nya number orang spk drone;dp date update repeated mgkn trima nya number orang spk drone
83;Tetep ya mobil listrik itu bisa di beli kalangan menengah keatas karna daya watt nya kl diisi dirumah harus ada 6.600 watt😅;1.0;tetep ya mobil listrik itu bisa di beli kalangan menengah keatas karna daya watt nya kl diisi dirumah harus ada number watt;['tetep', 'ya', 'mobil', 'listrik', 'itu', 'bisa', 'di', 'beli', 'kalangan', 'menengah', 'keatas', 'karna', 'daya', 'watt', 'nya', 'kl', 'diisi', 'dirumah', 'harus', 'ada', 'number', 'watt'];['tetap', 'iya', 'mobil', 'listrik', 'itu', 'bisa', 'di', 'beli', 'kalangan', 'menengah', 'keatas', 'karena', 'daya', 'watt', 'nya', 'kalau', 'diisi', 'dirumah', 'harus', 'ada', 'number', 'watt'];['iya', 'mobil', 'listrik', 'beli', 'kalangan', 'menengah', 'keatas', 'daya', 'watt', 'nya', 'diisi', 'dirumah', 'number', 'watt'];iya mobil listrik beli kalangan menengah keatas daya watt nya diisi dirumah number watt;iya mobil listrik beli kalang tengah atas daya watt nya isi rumah number watt
84;Lah gw ga sadar nonton udh 55 menit. Berarti gw sangat menikmati penjelasan om fitra yah wkwk;1.0;lah gw ga sadar nonton udh number menit berarti gw sangat menikmati penjelasan om fitra yah wkwk;['lah', 'gw', 'ga', 'sadar', 'nonton', 'udh', 'number', 'menit', 'berarti', 'gw', 'sangat', 'menikmati', 'penjelasan', 'om', 'fitra', 'yah', 'wkwk'];['lah', 'saya', 'tidak', 'sadar', 'nonton', 'sudah', 'number', 'menit', 'berarti', 'saya', 'sangat', 'menikmati', 'penjelasan', 'om', 'fitra', 'yah', 'wkwk'];['sadar', 'nonton', 'number', 'menit', 'menikmati', 'penjelasan', 'om', 'fitra', 'yah', 'wkwk'];sadar nonton number menit menikmati penjelasan om fitra yah wkwk;sadar nonton number menit nikmat jelas om fitra yah wkwk
86;Tunggu ioniq 7;1.0;tunggu ioniq number;['tunggu', 'ioniq', 'number'];['tunggu', 'ioniq', 'number'];['tunggu', 'ioniq', 'number'];tunggu ioniq number;tunggu ioniq number
87;harganya yg murah dong .;1.0;harganya yg murah dong;['harganya', 'yg', 'murah', 'dong'];['harganya', 'yang', 'murah', 'dong'];['harganya', 'murah'];harganya murah;harga murah
88;Klo banjir gmn?;0.0;klo banjir gmn;['klo', 'banjir', 'gmn'];['kalau', 'banjir', 'bagaimana'];['banjir'];banjir;banjir
89;@Miftahul Iman maaf om.. baru keluar dari goa nih. Makanya nanya. Mungkin orang modern seperti om bisa menjawab;0.0;user iman maaf om repeated baru keluar dari goa nih makanya nanya mungkin orang modern seperti om bisa menjawab;['user', 'iman', 'maaf', 'om', 'repeated', 'baru', 'keluar', 'dari', 'goa', 'nih', 'makanya', 'nanya', 'mungkin', 'orang', 'modern', 'seperti', 'om', 'bisa', 'menjawab'];['user', 'iman', 'maaf', 'om', 'repeated', 'baru', 'keluar', 'dari', 'goa', 'ini', 'makanya', 'nanya', 'mungkin', 'orang', 'modern', 'seperti', 'om', 'bisa', 'menjawab'];['user', 'iman', 'maaf', 'om', 'repeated', 'goa', 'nanya', 'orang', 'modern', 'om'];user iman maaf om repeated goa nanya orang modern om;user iman maaf om repeated goa nanya orang modern om
90;Pertanyaan jaman batu;0.0;pertanyaan jaman batu;['pertanyaan', 'jaman', 'batu'];['pertanyaan', 'jaman', 'batu'];['jaman', 'batu'];jaman batu;jaman batu
91;Berterimakasihlah pada dahlan iksan pencetus mobil listrik indonesia;1.0;berterimakasihlah pada dahlan iksan pencetus mobil listrik indonesia;['berterimakasihlah', 'pada', 'dahlan', 'iksan', 'pencetus', 'mobil', 'listrik', 'indonesia'];['berterimakasihlah', 'pada', 'dahlan', 'iksan', 'pencetus', 'mobil', 'listrik', 'indonesia'];['berterimakasihlah', 'dahlan', 'iksan', 'pencetus', 'mobil', 'listrik', 'indonesia'];berterimakasihlah dahlan iksan pencetus mobil listrik indonesia;berterimakasihlah dahlan iksan cetus mobil listrik indonesia
92;Shell malah komit banget suport kendaraan listrik.. pertamina kok gak malu ya?? Yg notabene perusahaan bumn milik negara;-1.0;shell malah komit banget suport kendaraan listrik repeated pertamina kok gak malu ya repeated yg notabene perusahaan bumn milik negara;['shell', 'malah', 'komit', 'banget', 'suport', 'kendaraan', 'listrik', 'repeated', 'pertamina', 'kok', 'gak', 'malu', 'ya', 'repeated', 'yg', 'notabene', 'perusahaan', 'bumn', 'milik', 'negara'];['shell', 'malah', 'komit', 'banget', 'suport', 'kendaraan', 'listrik', 'repeated', 'pertamina', 'kok', 'tidak', 'malu', 'iya', 'repeated', 'yang', 'notabene', 'perusahaan', 'bumn', 'milik', 'negara'];['shell', 'komit', 'banget', 'suport', 'kendaraan', 'listrik', 'repeated', 'pertamina', 'malu', 'iya', 'repeated', 'notabene', 'perusahaan', 'bumn', 'milik', 'negara'];shell komit banget suport kendaraan listrik repeated pertamina malu iya repeated notabene perusahaan bumn milik negara;shell komit banget suport kendara listrik repeated pertamina malu iya repeated notabene usaha bumn milik negara
