,Tweet,Sentimen,Emosi
178,"DPC Demokrat Maluku Tengah bagikan masker di Pasar Binaya Kota Masohi dan di depan Mini Market Hoky, Namaelo.""Ini lanjutan dari kegiatan sebelumnya, agar kader turun langsung ke masyarakat, ujar Ketua DPC Samuel Thiemailattu.",1.0,1
179,"KITA PUTUS DULU YA untuk memutuskan mata rantai COVID-19 tak cukup dgn jaga jarak saja, gunakan MASKER jika keluar rumah lindungi dirimu, karena mungkin saja seseorang disekitar kita terjangkit COVID-19",1.0,1
180,"Dengan diterapkannya PSBB (Pembatasan Sosial Berskala Besar) dibebarapa daerah, mari refleksikan pengorbanan-Nya dari rumah masing-masing. Dan kita semua berharap mukjizat segera turun menghalau COVID-19. Have a blessing",1.0,-1
181,gila serem bgt tante gue abis ngeoprasi org sesaran taunya doi positif covid,0.0,-1
182,BERSAMA LAWAN COVID-19 polisi_palembang anom_setyadji andes9899 irwan_to.sik05,1.0,1
183,Stay safe demi mencergah penyebaran peluasan wabah covid 19 bareng smartfren ,0.0,2
184,"Yuk, setelah covid berakhir. Tapi pengen bgt ke argopuro gas",0.0,2
185,Kenapa harus banget ngikutin berita covid ? Karna di ruang isolasi itu ga enak banget Astagfirullah cukup sekali dan semoga virus ini segera lenyap dari bumi,1.0,1
186,Punten ini rapid test covid kah mas nya?,0.0,1
187,"Bali terkini (April 2020), efek global Covid-19.Simak selengkapnya pada video saya,Link youtube:",0.0,-1
188,"Satu hari dia (Covid-19),akan pulang ke tempat asalnya... Tapi smp waktu itu kita harus terus bersabar dan berdoa moga semuanya dipermudahkan - Ustaz Fawwaz ",1.0,-1
189,Mau gimana lagi? Kalo sampe dia bilang masuk tuh covid. Minta bantuin siapa? Dia kan memusuhi seluruh dunia. Bener gak si?,-1.0,-2
190,Hahaha... Org2 yg tak waras.. Disaat2 sperti inicoba jgn gunakan politik... jgn grogoti dulu pemerintah... marilah kita sama2 tumbangkan covid 19 dulu... stelah 2024 nanti baru kita tumbangkan presiden.. Bukan begitu kan bang.... memangbetul2 ssh org yg ambisi kuasa..sabarlah...,-1.0,-2
191,KBRI Phnom Penh Peduli WNI dan Pencegahan COVID-19,1.0,1
192,"Virus Covid menyerang paru-paru, tapi Virus Cinta awak menyerang hati saya. Hehe",0.0,1
193,"Hasil Rapid Test Covid 19, semua Ulama di Tasimalaya, Jabar Negatif Virus Corona.Alhamdulillah, semoga Allah senantiasa selalu menjaga semua Ulama, Kiyai, Ustadz, Ustadzah, Da'i, Pengurus Masjid di seluruh Indonesia. Aamiin...",1.0,2
194,HMS Itenas Bandung melalui Satgas Covid-19 Yayasan Wanadri bekerjasama dan bersatu melawan Covid-19 dengan upaya penggalangan dana yang akan digunakan untuk membeli sejumlah alat perlengkapan medis di sejumlah Rumah Sakit di Jawa Barat.,1.0,2
195,[HMS Itenas Peduli] Pandemi Covid-19 menghadirkan berbagai keprihatinan sosial di seluruh Indonesia. Sudah saatnya kita keluarga besar HMS Itenas Bandung turun tangan memberikan bantuan kemanusiaan. Ayo Berdonasi untuk Dukung Perlengkapan Medis Tenaga Kesehatan COVID-19!,1.0,2
196,"Covid 19 Mahasiswa dan Pemda, Andi Hasriadi : Biarkan Kami Tetap Hidup Menjadi Generasi Pelanjut",1.0,2
197,"Antisipasi Kemungkinan Lain, Pasien Sesak Nafas Dikebumikan Dengan Protap Pemakaman PDP Covid-19 -",1.0,1
198,"Selagi vaccine tak jumpa, selagi tu bahaya covid 19 ni",0.0,1
199,Idup udh susah bgt ya.. Tambah covid makin susah.. Perekonomian beneran anjlokk..Udahann kek pandemi ini ,-1.0,-1
200,"Cegah Penyebaran Virus Covid-19, PUK SPAI FSPMI PT. Nipro Indonesia Jaya Bagikan Masker dan Hand Sanitizer Untuk Anggota",1.0,1
201,"kemenkeuri Tak bisa dipungkiri, aktivitas perekonomian yang kian tertekan akibat Covid-19 membuat banyak orang harus kehilangan pekerjaan penghasilan.Pemerintah telah menyusun strategi untuk",1.0,-1
202,"Koruptor bebas karena alasan Covid-19? Apakah benar ini bukti keberpihakan pemerintah kepada tikus tikus negara? Hmm, simak jawabannya di video ini ",0.0,-2
203,"Ada 15 cra mnyurh Covid-19 sgr prg 5.Jngn lgi mlas ke Msjd dll. Bkankh Covid-19 tlh mndidk kta, bgaimna sdh & strssnya kta tnpa ada tmpt mmohn,brdoa,tk bsa bribdh brjamah &shalt di Msjd dlm suasna btin yg dmai. Bgaimna sdhnya mlps sdr kta yg mninggl tnpa dishltkn di Msjd?.",1.0,-2
204,Secara langsung mereka sudah ODP harus lakukan treat pada mreka utk dilakukan screening Covid-19,1.0,1
205,Asrama Haji Pondok Gede Siap Digunakan untuk Ruang Isolasi Covid-19 -,1.0,2
206,"Ada banyak hikmah dari bencana Covid-19. Salah satunya memperlihatkan bahwa disiplin itu bukan kualitas alamiah manusia, tapi memang bentukan dengan paksaan",1.0,2
207,"Kamis malam Se-Dunia Mengetuk pintu langit dan munajat doa .. Memohon pada Sang Khaliq..Merayu Sang Maha mendengar.. Meminta Sang Maha Adil Untuk keselamatan Dunia dari wabah Covid-19 NU ku selalu ada , tetap ada dan terus ada",1.0,-1
208,"Guna memperkecil ruang penyebaran Covid-19, kami menghimbau untuk saudaraku dirantauan agar jangan pulang kampung demi keluarga demi INDONESIA !",1.0,1
209,Hari ini hari jumaat.Anda rindu solat jumaat?Mudah2an Covid-19 ini berlalu pergi.Mudah2an peperangan ini kita menang.,1.0,-1
210,Jom amin kan ramai2.Ya Allah semoga COVID -19 lenyap sebelum Ramadhan Lindungilah kami semua Ya Allah . Assalam,1.0,-1
211,kemarin ortu gue minta cekkin tunjangan sertifikasi. lucky masih lumayan. kalau thr batal yaudah. asal emang digunakan buat covid biar kehidupan cepat normal. gedek lama lama gini terus.,1.0,1
212,"Covid-19 Lari Kencang Memburu Mangsa, Adminstrasi PSBB Jalan di Tempat? -",-1.0,-2
213,"Lagi, Tim Gugus Tugas Covid 19 Melakukan Penyemprotan di Kawasan Medan Bagian Utara",1.0,1
214,jujur sih udh gapernah ngikutin berita covid bikin pusingg,0.0,-2
215,"Heran dengan medsos dan media2 mainstream,, yg di angkat kok ojol doang ? Tu banyak yg lebih sengsara kayak buruh bangunan, buruh serabutan yg tanpa covid-19 aja hidupnya sudah kacau,,",1.0,-2
216,"ASN, TNI, POLRI, pegawai BUMN dilarang mudik.Kudu manut, ora usah ngeyel. Ayo bersatu, semoga Covid 19 segera hilang.Jaga kebersihan, jaga kesehatan.",1.0,1
217,Kawasan Physical Distancing Dalam Upaya Pencegahan Covid 19,1.0,1
218,mengalahkan covid.g,0.0,2
219,Dua warga Kabupaten Lampung Utara yang dinyatakan positif terpapar Covid-19 dikarantina di komplek Islamic Center Kotabumi.Menurut Plt Bupati Budi Utomo yang juga Ketua Tim Gugus Tugas Penanggulangan Covid-19,0.0,1
220,"Camana nak cari rezeki lebih, adakah ada pekerja yg kena buang kerja dgan ekonomi kita yg terganggu sekarang ni disebabkan covid-19... bukannya sekarang masa nak bash atau kecam sana sini pasal isu menteri laa artis laa, kaum itu ini buat hal laa. ",0.0,-2
221,"Presiden Tidak ada langkah serius hadapi pandemi Covid-19,akan menjadi bom waktu bagi semua orang indonesia tidak diyerima di dunia internasional .",-1.0,-2
222,"Yang nolak2 jenazah covid 19, apalagi kalo itu nakes, pada ga takut apa ya jenazah mereka ditolak bumi. Gapernah nonton sinetron hidayah apa gimana",0.0,-2
223,Posko Siaga Covid-19 Data Para Pemudik,1.0,1
224,"Planning buat liburan ke sabang batall, howalaahh covid covid",0.0,-2
225,"Bagi anda Korban PHK atau dirumahkan akibat penyebaran virus COVID-19, yuk daftarkan diri anda untuk mendapatkan Kartu PRA KERJA. Mudah koq",1.0,2
226,"bersama, bersatu lawan penyebaran virus Corona Covid-19, Jaga kesehatan, jauhi kerumunan, cuci tangan pakai sabun serta tetap ...Infolingga.",1.0,1
227,"Bencana Nasional Covid-19; Satu Warga Positif Corona, Pemprov NTT Koordinasi dengan Kemenkes |",1.0,-1
228,"Hingga saat ini Korut mengklaim masih terbebas dari virus COVID-19. Padahal, dua negara yang mengapitnya, yakni Kosel dan China menjadi episentrum.",0.0,1
229,"Kapolrestabes Semarang Bersama Forkopimda Kota Semarang Memberikan Himbauan Kepada Masyarakat untuk Memakai Masker, Jaga Kebersihan dan Tetap di rumah guna memutus mata rantai penyebaran virus corona atau covid 19.",1.0,1
230,Kalo ga covid hari ini tuh udah H-2 nangis di pojokan,0.0,-1
231,"Ketularan Covid-19 dari Pemudik Jakarta, Kota Kediri Tambah 1 Kasus Positif",0.0,-1
232,SIAPAPUN YANG BERPOLITIK DI TENGAH WABAH COVID 19 ITU TIDAK PEDULI RAKYAT!!!!,1.0,-2
233,"bersama, bersatu melawan penyebaran virus Corona Covid-19 di Kabupaten Lingga, Jaga kesehatan, jauhi kerumunan, cuci tangan pakai sabun serta tetap ...Infolingga Info ",1.0,1
234,Banyak tanggal merah pas lagi wabah covid-19,0.0,2
235,Pejuang covid..,1.0,2
236,"Gpp nyai mendingan gitu hibur diri daripada keluar rumah, tetap sehat nyai semoga Alloh melindungi dan menjauhkan wabah covid utk kita semua aamiin YRA",1.0,1
237,"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor?Kebayang ga sih klo kita sudah susah payah menangkap tikus sampai dapat banyak bgt -itupun blm semuanya-, eeehh... Tau2 mau dilepaskan. Kyk apa jadinya rumah kita? ",0.0,-2
238,PHYSICAL DISTANCING MEMUTUS RANTAI PENYEBARAN COVID-19,1.0,2
239,"Seram: Jatuh Tempo Massal Covid-19 di USA, Bagaimana dengan Indonesia? -",0.0,1
240,Repotnya Sissy Priscillia Dampingi Anak Sekolah sambil Bekerja dari Rumah Selama Wabah Covid-19,0.0,-1
241,"Tak Kenal Lelah, Tim Gugus Tugas Covid 19 Kembali Semprot Pemukiman Padat Penduduk di Belawan",1.0,1
242,"Begitu ntar bnyak yg kena covid si miskin yg dituduh bawa virus ya nasib jadi org miskin ky gw kuli proyek,sopir ambulans dan kang gali kubur bakal kena getahnya lindungi kami kaum Miskin ya Rabb..",1.0,-2
243,"Berapa banyak bahan kempen dia mahu padam da... Daripada release, padam... release, padam macam ni... lebih baik dok dendiam wat keje yg org tk nampak, takyah wat kempen langsung. Save wang kerajaan, boleh masuk tabung Covid-19 tolong rakyat.",0.0,-2
244,PANDUAN ISOLASI MANDIRI ANTISIPASI PENYEBARAN COVID-19,1.0,1
245,Betoi tu.zmn PKP ni kita spatut bantu nambah beban pulak...sb spesis ni la yg angkuh bodoh ni bertambah kes covid ni..,0.0,-2
246,Nih aku kasih Tips Cegah penyebaran Berita Hoax Covid-19 di WA.teliti dulu beritanya ya kak..Jangan asal teruskan..,1.0,-2
247,Surabaya  Babinsa Koramil Tenggilis mejoyo terus berupaya melaksanakan sosialisasi kepada warga masyarakatnya untuk meredam mewabahnya virus corona atau Covid 19.Kali ini Serma Siswono dan Sertu Supri Warsoyo,1.0,1
248,"Virus corona tak mengenal usia, pangkat maupun jabatan. Mereka yang berada di keluarga kerajaan Saudi pun tertular Covid-19.",1.0,-1
249,Asalamualaikum selamat pagi semua semogga hari ini lebih baik Dr hati2 sebelumnya semogga covid-19 cepat berlalu dan sebelum masuk bulan rohomadhon semgga tidak ada covid-19 lagi amin ya robal alamin.,1.0,-1
250,Mudah2an semua Covid p badan mu.,-1.0,-2
251,Mimpi semalam; PSBB bertahan hanya beberapa hari. Dibatalkan karena kasus covid datanya dibuat tampak sudah tidak bertambah. Tekanan berbagai pihak membuat pemerintah segera menjalankan kegiatan perekonomian seperti sedia kala. Ahli kesehatan dan tenaga medis hanya bisa pasrah,0.0,-1
252,"1. Dampak Covid-19 terhadap Perekonomian Indonesia Jawab : kondisi sekarang ini akan berimbas pada menurunnya konsumsi rumah tangga,Lebih dari itu, investasi pun akan merosot tajam. Maka COVID-19, diprediksi investasi akan merosot ke level satu persen atau terburuk.",1.0,1
253,"Cegah Covid 19, di Area Physical Distancing",1.0,1
254,"kalo perusahaan baru yang mau bikin eFin bagaimana min? Secara lagi ada wabah covid-19 ini, apa ke kantor pajak setempat atau secara online min? Trmksh",0.0,1
255,Peta identifikasi sebaran covid-19 di Kota Serang update per hari ini. Berdasarkan postingan dinkeskotaserang pasien positif di Kota Serang bertambah sehingga total menjadi 2 orang.Hal-hal terkait pertanyaan,1.0,-1
256,semenjak covid ni.....ramai ke pompuan yg gigih pakai make up keluar rumah...dengan mask lagi?,0.0,1
257,Klo sy lebih berduka dgn meninggalnya para petugas medis yg berjibaku mengamankan pasien dari covid 19.,1.0,-1
258,"Selamat Pagi. Dapat kami informasikan, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.",0.0,2
259,Covid 19 menyebar ke binatang kah ? Semoga para ahli menelitinya,0.0,1
260,Semoga indonesia mampu menekan lonjakan pasien covid-19 di tengah tengah minimnya APD,1.0,1
261,Kepastin ttg kapan miss Covid 19 pergi dari muka bumi,1.0,1
262,JANGAN TULARKAN COVID-19 DI KAMPUNG HALAMAN,1.0,-2
263,"Selama Pandemik COVID-19, Polri Ungkap Angka Kejahatan Menurun",1.0,2
264,Mau kesana ngambil sendiri jadi ragu di tambah situasi saat ini yg mengharuskan stay at home karena Covid-19. Mohon untuk evaluasinya yaa.. soalnya batas konfirmasi produk dari Shopee nya tanggal 12 April ini.. Terima Kasih.,0.0,1
265,Polres Trenggalek melakukan patroli untuk menghimbau masyarakat untuk jaga jarak. Karena masih saja ada warga yng suka nongkrong. ,1.0,1
266,"2 orang temenya Glenn jangan ikut nyusul dulu, biarkan disiksa dulu oleh virus corona(covid-19).",-1.0,-2
267,Doa saya semoga dunia ini terbebas dari yg namanya virus corona (covid-19) agar dunia ini kembali sehat dan manusianya bisa lebih bersyukur kepada Allah SWT diberikan kesehatan dan kebahagiaan. Amin,1.0,-1
268,Kampung panglime linting melakukan pencegahan covid 19( virus korona) bersama masyarakat,1.0,1
269,covid sialan emg,-1.0,-2
270,Ramuan empon empon buat jaga kesehatan dimasa virus covid Corona : jahe ( bagusnya jahe merah ) + temulawak + cengkeh + kunir/ kunyit + sereh + kayu manis + gula merah/ madu,1.0,1
271,"Pakai masker, mainkan yoyo mu . Potret ini di sd vita school. Dilakukan sebelum pandemi covid-19 . Tp budaya menggunakan masker sudah dilakukan .Contact Us :Cak Dolan : 085850080188",0.0,1
272,"Tidak usah cuti laahh, kita mengejar ketertinggalan kemarin aja masih belum terkejar, belum.lagi Covid 19 tambah tertinggal lagi, jgn malah dijadikan modus...",1.0,-2
273,Amit2 kalau kalian ntar yg pada nolak terus positif covid dan ngga ada yg mau ngerawat kalian kalian bisa apaa???,0.0,-2
274,"Wahai seluruh perantau yg masih ada di Jakarta.Ingatlah bahwa kita semua adalah ODP COVID-19.Pikirkan baik-baik jika kalian ingin MEMAKSAKAN pulang kampung, apapun alasannya.Jangan sampai hal seperti di gambar ini kalian lakukan.",1.0,-2
275,Nama virus ni covid la bukan convic bukan convin adoiii bebal,-1.0,-2
276,"Cegah Virus Corona Covid-19, Srikandi Polres Pasuruan Bagikan Masker ke Masyarakat",1.0,1
277,"Unggal lilir ngaragap tarang ""Alhamdulillah heunteu panas, Efek covid",0.0,2
278,Aliansi Bali Lawan Covid-19 Siap Bersinergi Dengan Pemerintah Kota Denpasar Dalam Memutus Penyebaran Covid-19 via Mengungkap Fakta Meluruskan Sejarah,1.0,1
279,eh ini tl udah kaga sliweran berita covid. ud kelar kali ya apa gmna,0.0,2
280,3.315 Pekerja di Jatim Jadi Korban PHK Karena Covid-19 via,0.0,-1
281,Buat masa ni lebih baik tumpukan pada mereka yang terkesan pada musim Covid-19 ni,0.0,1
282,"kemenkeuri Pemerintah siapkan kebijakan extraordinary untuk tangani Covid-19. Untuk itu, belanja negara meningkat untuk fasilitas dan pelayanan kesehatan, bantuan sosial, dan pemberian stimulus",1.0,2
283,Nunggu covid beres,0.0,1
284,"suruh news anchor kalian pake masker lah, selain utk melawan covid 19 hal ini jg sbg cara meng edukasi msy yg ngeyel gak mau pakai masker!",1.0,-2
285,"AWALNYA rezim jkw MEREMEHKAN/ MENUTUPI demi amankan turis, proyek2x, investor, TKA dari negara cina komunis ? tapi saat indonesia DISERANG penguasa gagap tidak bisa mencegah, mengendalikan lindungi rakyat dari tertular kematian",1.0,-2
286,"Bantu Tenaga Medis Rawat Pasien COVID-19, Mata Garuda Sulsel Produksi APD",1.0,1
287,New post (COVID-19: Bisakah Obat Penghilang Gumpalan Membantu Menyelamatkan Nyawa Pasien dengan Ventilator?) has been published on Kafe Kepo -,0.0,1
288,Belanja Sayur Online Diserbu Warganet Saat Pandemi Covid 19,1.0,1
289,Semoga covid 19 segera berakhir. Aamiin,1.0,-1
290,"Gubernur Gorontalo Rusli Habibie mengumumkan kasus positif pertama di Gorontalo, Kamis (9/4/2020) malam.Foto: Adiwinata Solihin",0.0,-1
291,Berita artis meninggal mungkin sengaja di besar2kan utk mengalihkan berita atas kelalaian pemerintah mengatasi wabah COVID 19...,-1.0,-2
292,"Dholat berjamaah dilarangNgopi2 diwarung dilarangPesta nikahan dilarang n dibubarinAda yg mati, yag ngelayat sampai penuh kok ngak dilarang n dibubarin???Virus covid-19 madih ada",-1.0,-2
293,"KUMPULAN Poster Stay at Home untuk Edukasi Covid-19, Bagikan Lewat Facebook, WhatsApp dan Instagram via",0.0,1
294,Bayani akan yadda zaka/zaki gujewa coronavirus (covid-19),0.0,1
295,Juara PUBG - Ned Brotherhood untuk Selangor Cybergames Stay Home Edition tahniah kepada pemenang. Nantikan Selangor Cyber Games 2020 yang akan berlangsung selepas kita berjaya lawan covid 19. Terima kasih juga yg menyumbang semasa kejohanan ini dengan RM36488 berjaya dikutip,0.0,2
296,Tim Pesisir Selatan Sisir 54 Warga Pernah Kontak Dua Pasien Covid-19,0.0,1
297,ARTIKEL : Covid-19 dan Kehidupan Sosial Bermasyarakat,1.0,1
298,"ni... timbus je dgn salji, konfem virus Covid-19 tak serang dorang ",0.0,1
299,"Cegah Penyebaran Covid 19, Tim Satgas Periksa Setiap Kapal Yang Masuk",1.0,1
300,"Alhamdulillah semoga Abang Sehat selalu, semoga Indonesia cepat terbebas dari covid-19",1.0,2
301,"Indonesia tegaskan perlunya DK PBB tunjukkan kesatuan dlm atasi dampak COVID-19 thdp perdamaian &amp; keamanan internasional. Perlu kerja sama global, solidaritas &amp; hindari diskriminasi serta stigmatisasi. ",1.0,1
302,"Untuk saat ini merekalah garda terdepan dalam menangani covid 19 ini , tunjukan rasa kemanusiaan berpikirlah dengan cerdas . ",1.0,-2
303,Perawat2 ini yg ngerawat pasien covid kalau mereka sampai terkena itu sudah resiko pekerjaan mereka.Nyawa mereka taruhkan demi kesembuhan kalian terus sekarang mau dimakamin di daerahnya malah kalian tolak?Hatinya nurani kalian tuh pada dimana sih?,1.0,-2
304,"Jasamu luar biasa, tenaga medis yg tlah gugur berjihad di tengah wabah covid 19",1.0,-1
305,Covid menelanjangi dan mempertontonkan kepada kita bagaimana +62 ini diurus.,-1.0,-2
306,"DPRD Kota Makassar info_dprd_kotamakassar , Pemerintah Makassar Realokasi (refocusing) Anggaran sebesar 190 Milyar, untuk penanganan dampak Pandemi COVID-19 di Kota Makassar. Ketua DPRD Kota",1.0,1
307,"Kesan Covid-19 merentas pelbagai lapisan iaitu perubatan, media dan ideologi politik. Kini kedengaran analisis geo-politik mengenai Covid-19 berlegar dalam media."" - Mohd Azmi Abdul Hamid ",-1.0,1
308,"Memperingati Milad Imam Mahdi afs, DPW ABI Sumsel dan DPD ABI Kab Probolinggo Giat Sosial Pencegahan Covid-19 lewat",1.0,1
309,"Yah orang seperti anda ini yg kalau dimutasi menjadi virus yg lebih berbahaya dari sekedar covid 19.Yang kalau ngomong dikit2 ""obat sakit kepala itu Bodrex,pokoknya harus Bodrex..."" Padahal ko antokkan kepala kau ke batu itu pun sembuh pak Sampek sini paham anda??",0.0,-2
310,"Alasan kenapa ndak boleh lelarian, sepedaan, joging bareng di masa Pandemik COVID-19.",1.0,1
311,"Usahakan jangan menghasut suasana seperti ini, apakah tugasmu hanya menghasut, seperti ustad ustad kadal gurun ??Kita sebagai warga dunia bukan hanya warga negara harus mendukung usaha menekan covid-19 atau minimal diam.",-1.0,-2
312,"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor??? | Serba-serbi MMC Pemerintah, melalui kemenkumham telah mengeluarkan dan membebaskan 30.432 narapidana dan Anak melalui program asimilasi dan integrasi berkenaan....",-1.0,1
313,"Ni orng bagusnye disuru bantu dokter yg nanganin covid-19 tanpa apd, sensasi mele lo nesnes...",-1.0,-2
314,Tiga daerah di Papua Barat zona hijau dari COVID-19,0.0,2
315,Semoga covid 19 cepat berlalu,1.0,-1
316,Terapkan dan Biasakan Jaga Jarak untuk Cegah Merebaknya Covid-19,1.0,1
317,"Walau sudah 2x belum salat Jumat, Insha Allah tidak mengurangi yang saya rasakan bersama keluarga dalam melawan covid 19",1.0,-1
318,Adakah website/portal berita/media yang memuat timeline kebijakan pemerintah terkait covid?,0.0,1
319,"Cegah Pagebluk COVID-19, Polri Janji Penindakan Hukum Jalan Terakhir",1.0,1
320,Salah satu penyebab angka kematian karena covid-19 tinggi adalah kemungkinan ada yang bukan meninggal karena covid-19 dinyatakan meninggalnya karena covid-19 karena sakitnya saat covid-19 lagi merebak.,0.0,1
321,Harusnya hari ini aku ke jogja ngajak ibu jalan2 biar refreshing udh ngerencanain ini dari thn lalup boro2 jalan2 di jogja..diskitar kediri aja gabisa. Please covid go away!! ,0.0,-1
322,"Semenjak ada covid, jam tidur udah kek bukan manusia normal.",0.0,-1
323,Update Corona Covid-19 Sulsel Jumat 10 April 2020 per Kabupaten Kota: Maros Sidrap 12 Postif Gowa 17,0.0,1
324,Abdul covid vairus kalo cowok. Siti covida vairus kalo cewek wkwkwkw,-1.0,2
325,"Selamat Memperingati Wafat Isa Almasih bagi umat Kristen dan Katholik. Wafat Isa Almasih tahun ini jatuh pada hari Jumat, 10 April 2020.Semoga di tengah pandemi COVID-19 ini selalu diberikan kedamaian dan",1.0,-1
326,Ayok mari kita sama sama lawan covid 19,1.0,2
327,"Duh gusti masih ada aja, i Ungaran warga menolak pemakaman perawat RSUD Dr.Kariadi Semarang korban covid-19",1.0,-2
328,Pembagian Sembako Serentak Kepada Warga Tidak Mampu di Sekitar Mapolsek dn Makoramil terkait dampak Wabah Corona (Covid-19)Hari Kamis tgl 09 APRIL 2020 pkl 10.00 Pembagian Sembako dilakukanKapolsek Tawangharjo,1.0,1
329,Segenap keluarga besar Pemerintah Kota Batu mengucapkan Selamat Hari Jadi Kabupaten Nganjuk ke 1083.Semoga Kabupaten Nganjuk semakin maju dan pandemi Covid-19 segera berlalu..-rebecca_ramona.,1.0,2
330,"Rupanya soal persiapan lahan utk kuburan masal korban Covid 19 tak hanya pemerintah Aceh, pemerintah New York pun turut mempersiapkanya. Sedia payung sebelum hujan.",1.0,1
331,Kenapa perlu duduk di rumah? Ini sebabnya.Bersama kita putuskan rantaian jangkitan COVID-19.,1.0,1
332,"vid covid, kapan kamu pergi..sejak kedatanganmu, banyak orang kehilangan",1.0,-1
333,Wabah Corona (COVID-19) peringatan bagi para penguasa. Agar mereka tidak berbuat makar kepada Allah SWT. Dengan menentang penegakan hukum-hukum-Nya. Cepat atau lambat mereka akan mendapat balasan dari-Nya.,-1.0,-2
334,TUGAS EKONOMINama : Aulia Nashwa NathaniaNo : 09Kelas : Xl Mipa 3SMA Negeri 1 BanyudonoSaya akan menjawab beberapa pertanyaan yang diberikan oleh Ibu terkait dengan Materi Kerjasama Internasional &amp; isu yang sedang berkembang saat ini (Covid-19)-A THREAD-,0.0,1
335,"Bantuan Masyarakat Terus Mengalir, Rekening Gugus Tugas Covid-19 Sudah Terisi Rp 193 MiliarYang 11.000T bagaimana kabarnya? Kalau ini beri bohong, tolong tangkap sumbernya",0.0,1
336,Wander Luiz Masih Menunggu Hasil dari Pemeriksaan Tes COVID-19,1.0,1
337,Kerja-kerja termination cable for stand by gen set at Pusat Kuarantin dan Rawatan Quarantine for Low Risk Covid-19 Patient @ MAEPS .,0.0,-1
338,Semoga wabah covid 19 segera berlalu,1.0,1
339,Bisakah Permenkes PSBB Mempercepat Penanganan Covid-19? -,1.0,1
340,"El Asamau, Mahasiswa LPDP Asal Alor Umumkan Positif Covid-19 di NTT lewat Pos",0.0,-1
341,"Berdamailah dlm kesedihn dan rasa sakitItulah sumber mata air kehidupan dan kecintaan pada TuhanKrna kemuliaan itu hrus kau temui dlm onak dan duri(Rumi, Matsnawi, jilid 2, bait 2261-2263)Bgitulah pelajaran ala Rumi untk kita di tngah mwbahny covid-19. Badai psti berlalu.",1.0,-1
342,Flex sangat haritu increase production. Sekarang baru tahu langit tinggi atau rendah apabila unexpected beast (Covid-19) datang. ,0.0,-1
343,"Pemerintah Larang ASN, TNI, Polri, dan Pegawai BUMN Mudik di Tengah Pandemi Covi",1.0,1
344,"Kata dia nih untuk mencegah virus Covid 19 harus rajin Mandi,, Perasaan gw semua yg meninggal jg rajin mandi,,,Bangun Tidur Si Torus Mandi,,Tidak Lupa Menggosok Biji,,",-1.0,-2
345,"Mungkin Glenn Fredly jauh lebih berharga dari pd petugas medis &amp; para korban meninggal covid-19 Yang bela sungkawa byk bener termasuk dari pemerintah Sampai segitunya Para petugas medis, bersabar ya  kami disini yg akan terus mendoakan kalian sepanjang hari demi hari ",-1.0,-2
346,"Yuk Kita Simak Penjelasan Dr. Hastry, Sp.F Terkait Penanganan Jenazah Covid-19Bersama Kita BisaINDONESIA BISA LAWAN CORONA",1.0,2
347,Dokter Tifauzia: Presiden Harusnya Sampaikan Duka Cita ke Dokter COVID-19,0.0,-1
348,"Covid-19 akan pergi... InsyaAllah kerana masih ada manusia yang rukuk pada Allah, masih ada bayi yang menyusu dan masih ada burung dan haiwan lain yang mencari makanan untuk terus hidup ",1.0,-1
349,Polsek Tugu Himbau Jaga Jarak Aman Cegah Covid-19,1.0,1
350,Kalau pandemi covid 19 ini berakhir dari bumi ini..Aku mau nikah..Dg siapa?Pokoknya dg laki lakiBukan pengangguranBukan buaya sosmedGak harus gantengGak musti kayaYg penting matane rak jelalatan ngeliat yg perempuan,-1.0,2
351,Hari ini masuk kali yang keempat kita tidak dapat menunaikan solat Jumaat. Semoga Allah menghapuskan Covid-19 ini dengan segera. Amin ,1.0,-1
352,"Kalau Omnibus Law tetap berjalan ribuan buruh akan melakukan demo besar2an pd tg 30 AprilDalam kondisi wabah Covid-19, seharusnya DPR lebih fokus menghadapi wabah corona dan korban PHK",1.0,-2
353,"Personil Polsek Karanglewas melaksanakan patroli malam ( BLP) atau jam malam, ciptakan situasi yang kondusif dan adakan cek pos sterilisasi terkait pencegahan penularan Covid-19 pada saat jam malam di wilayah kec Karanglewas, (10/4)",1.0,1
354,"Berdasarkan survei, dari 100 orang yang meninggal karena Covid-19, ternyata semuanya karena tidak sembuh...",-1.0,-1
355,Pembatasan Sosial Berskala Besar (PSBB) di DKI Jakarta Cegah Covid-19 - Berlaku pada 10 April 2020 (selama 2 pekan)- Sekolah dan tempat kerja diliburkan- Semua tempat ibadah ditutup- Semua fasilitas umum,1.0,1
356,Yup setuju!!!Demo dalam skala besar biar kena Covid-19!!!Tinggal dibuang kelaut semuanya!!!,-1.0,-2
357,Wah konkret instruksi untuk kepala daerah dari kader Banteng utk bersatu melawan Corona,1.0,2
358,Putuskan mata rantai covid 19... ,1.0,1
359,Semoga semua frontliner kita terus usaha menyumbang bakti kepada negara,1.0,-1
360,Polres Lhokseumawe akan Lidik Penyebar Info Dokter Positif Covid-19,1.0,1
